,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
2,universe_model,,,,0.29877895624317086,0.29877895624317086,0.10653747913050422,0.10653747913050422
3,universe_scale,,,,0.2452175104194126,0.2452175104194126,0.10478804144409058,0.10478804144409058
9,universe_model,universe_scale,,,0.24378842826771963,0.787784894930303,0.0951921027018764,0.16135850580058278
13,universe_exclude_subgroups,universe_model,universe_scale,,0.03534109998452439,0.8670258670554484,0.03950981361729003,0.13021568866834826
5,universe_exclude_features,universe_model,,,0.0343541086427665,0.3533895040009637,0.03885110016423779,0.12384639783183965
7,universe_exclude_subgroups,universe_model,,,0.02742221529856812,0.3313449154622619,0.037571280294344776,0.08956090250792932
12,universe_exclude_features,universe_model,universe_scale,,0.025867590429865955,0.8823802732210586,0.03037347981544248,0.10935959803765714
0,universe_exclude_features,,,,0.020256439115026316,0.020256439115026316,0.029278218113394035,0.029278218113394035
10,universe_exclude_features,universe_exclude_subgroups,universe_model,,0.014284865187823367,0.40741336085479785,0.016278796652034293,0.11061029715361152
6,universe_exclude_features,universe_scale,,,0.014117240103096748,0.2795911896375357,0.017470516390379956,0.091796406325026
14,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,0.011516144997690825,0.9999999999999977,0.010602245008657835,4.8206888595878226e-15
8,universe_exclude_subgroups,universe_scale,,,0.011333912921529805,0.26169516726146536,0.016858274927143573,0.10014897293226127
4,universe_exclude_features,universe_exclude_subgroups,,,0.007173032446919729,0.03257321548246901,0.008707620317008197,0.036043838243259775
11,universe_exclude_features,universe_exclude_subgroups,universe_scale,,0.005404712021359858,0.30864659094786795,0.006932053971947626,0.09642580936691222
1,universe_exclude_subgroups,,,,0.005143743920522964,0.005143743920522964,0.007557046691690924,0.007557046691690924
