,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.4154614336736343,0.4154614336736343,0.1895250794004386,0.1895250794004386
0,sett_cutoff,,,,0.32306331594850274,0.32306331594850274,0.20859185945043165,0.20859185945043165
6,sett_cutoff,sett_model,,,0.1442080746046065,0.8827328242267436,0.07978475705222936,0.1538746806422139
8,sett_exclude_features,sett_model,,,0.05566482107222509,0.49175776458774784,0.09284397557356586,0.19131726130160384
4,sett_cutoff,sett_exclude_features,,,0.024099070788671687,0.36779389657906286,0.043372286243138714,0.22635382758532058
1,sett_exclude_features,,,,0.020631509841888454,0.020631509841888454,0.03915761345538864,0.03915761345538864
11,sett_cutoff,sett_exclude_features,sett_model,,0.016871774070471298,1.0,0.028684613927507086,2.884444029575346e-16
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.32306331594850274,0.0,0.20859185945043165
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.020631509841888454,0.0,0.03915761345538864
9,sett_exclude_subgroups,sett_model,,,0.0,0.4154614336736343,0.0,0.1895250794004386
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.36779389657906286,0.0,0.22635382758532058
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.8827328242267436,0.0,0.1538746806422139
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.49175776458774784,0.0,0.19131726130160384
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,2.884444029575346e-16
