,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.5714285714285714,0.5714285714285714,0.4948716593053935,0.4948716593053935
3,sett_model,,,,0.4285714285714287,0.4285714285714287,0.4948716593053937,0.4948716593053937
0,sett_cutoff,,,,0.0,0.0,0.0,0.0
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
4,sett_cutoff,sett_exclude_features,,,0.0,0.5714285714285714,0.0,0.4948716593053935
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.0,0.0,0.0
6,sett_cutoff,sett_model,,,0.0,0.4285714285714287,0.0,0.4948716593053937
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.5714285714285714,0.0,0.4948716593053935
8,sett_exclude_features,sett_model,,,0.0,1.0,0.0,1.4536231567507431e-16
9,sett_exclude_subgroups,sett_model,,,0.0,0.4285714285714287,0.0,0.4948716593053937
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.5714285714285714,0.0,0.4948716593053935
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0,0.0,1.4536231567507431e-16
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.4285714285714287,0.0,0.4948716593053937
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,1.0,0.0,1.4536231567507431e-16
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,1.4536231567507431e-16
