,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.861134436458917,0.861134436458917,0.3178924497944811,0.3178924497944811
1,sett_exclude_features,,,,0.11106443558579832,0.11106443558579832,0.2832422767853402,0.2832422767853402
8,sett_exclude_features,sett_model,,,0.027801127955284655,1.0,0.09220588023059764,2.3551386880256624e-16
0,sett_cutoff,,,,0.0,0.0,0.0,0.0
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
4,sett_cutoff,sett_exclude_features,,,0.0,0.11106443558579832,0.0,0.2832422767853402
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.0,0.0,0.0
6,sett_cutoff,sett_model,,,0.0,0.861134436458917,0.0,0.3178924497944811
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.11106443558579832,0.0,0.2832422767853402
9,sett_exclude_subgroups,sett_model,,,0.0,0.861134436458917,0.0,0.3178924497944811
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.11106443558579832,0.0,0.2832422767853402
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0,0.0,2.3551386880256624e-16
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.861134436458917,0.0,0.3178924497944811
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,1.0,0.0,2.3551386880256624e-16
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,2.3551386880256624e-16
