,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.46250316165305133,0.46250316165305133,0.49273145494563303,0.49273145494563303
0,sett_cutoff,,,,0.32989542315712966,0.32989542315712966,0.46660017075226323,0.46660017075226323
1,sett_exclude_features,,,,0.20418551688634043,0.20418551688634043,0.39800073889536913,0.39800073889536913
8,sett_exclude_features,sett_model,,,0.0016969432153763461,0.668385621754768,0.004341509548070568,0.4689878745175
6,sett_cutoff,sett_model,,,0.000927324632513949,0.7933259094426949,0.003469731061183247,0.39688660334142484
4,sett_cutoff,sett_exclude_features,,,0.000791630455587822,0.534872570499058,0.0029620099417453946,0.493633342953229
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.32989542315712966,0.0,0.46660017075226323
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.20418551688634043,0.0,0.39800073889536913
9,sett_exclude_subgroups,sett_model,,,0.0,0.46250316165305133,0.0,0.49273145494563303
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.534872570499058,0.0,0.493633342953229
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,0.9999999999999996,0.0,2.8665835232995054e-16
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.7933259094426949,0.0,0.39688660334142484
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.668385621754768,0.0,0.4689878745175
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,0.9999999999999996,0.0,2.8665835232995054e-16
