,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.7846608681845396,0.7846608681845396,0.4097835450357007,0.4097835450357007
1,sett_exclude_features,,,,0.1431937153266412,0.1431937153266412,0.34979177903787284,0.34979177903787284
0,sett_cutoff,,,,0.07179427731224099,0.07179427731224099,0.2574413050481437,0.2574413050481437
6,sett_cutoff,sett_model,,,0.00018285294183475673,0.8566379984386153,0.0006592856576546498,0.3497256749479711
8,sett_exclude_features,sett_model,,,0.000168286234748369,0.9280228697459292,0.0006067646483400143,0.2573947881833478
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
4,sett_cutoff,sett_exclude_features,,,0.0,0.21498799263888224,0.0,0.4099626026996969
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.07179427731224099,0.0,0.2574413050481437
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.1431937153266412,0.0,0.34979177903787284
9,sett_exclude_subgroups,sett_model,,,0.0,0.7846608681845396,0.0,0.4097835450357007
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.21498799263888224,0.0,0.4099626026996969
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0000000000000049,0.0,8.235612288820775e-15
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.8566379984386153,0.0,0.3497256749479711
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.9280228697459292,0.0,0.2573947881833478
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0000000000000049,0.0,8.235612288820775e-15
