,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.5062240923882528,0.5062240923882528,0.49408962906163567,0.49408962906163567
0,sett_cutoff,,,,0.48755181522349444,0.48755181522349444,0.48882147146127347,0.48882147146127347
4,sett_cutoff,sett_exclude_features,,,0.006224092388252807,1.0,0.018672277164758423,0.0
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
3,sett_model,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.48755181522349444,0.0,0.48882147146127347
6,sett_cutoff,sett_model,,,0.0,0.48755181522349444,0.0,0.48882147146127347
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.5062240923882528,0.0,0.49408962906163567
8,sett_exclude_features,sett_model,,,0.0,0.5062240923882528,0.0,0.49408962906163567
9,sett_exclude_subgroups,sett_model,,,0.0,0.0,0.0,0.0
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,1.0,0.0,0.0
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0,0.0,0.0
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.48755181522349444,0.0,0.48882147146127347
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.5062240923882528,0.0,0.49408962906163567
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,0.0
