,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.5279393852045777,0.5279393852045777,0.4802575522541316,0.4802575522541316
0,sett_cutoff,,,,0.3610303073977111,0.3610303073977111,0.4606472825726006,0.4606472825726006
3,sett_model,,,,0.08333333333333336,0.08333333333333336,0.27638539919628335,0.27638539919628335
4,sett_cutoff,sett_exclude_features,,,0.027696974064377784,0.9166666666666666,0.09186047079974592,0.27638539919628335
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.3610303073977111,0.0,0.4606472825726006
6,sett_cutoff,sett_model,,,0.0,0.44436364073104445,0.0,0.477925820531588
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.5279393852045777,0.0,0.4802575522541316
8,sett_exclude_features,sett_model,,,0.0,0.6112727185379111,0.0,0.46802383256830254
9,sett_exclude_subgroups,sett_model,,,0.0,0.08333333333333336,0.0,0.27638539919628335
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.9166666666666666,0.0,0.27638539919628335
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0,0.0,1.4332917616497527e-16
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.44436364073104445,0.0,0.477925820531588
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.6112727185379111,0.0,0.46802383256830254
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,1.4332917616497527e-16
