,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.34602257335970005,0.34602257335970005,0.4647762518090423,0.4647762518090423
0,sett_cutoff,,,,0.2928502848798465,0.2928502848798465,0.43615452476201527,0.43615452476201527
3,sett_model,,,,0.20040254755357012,0.20040254755357012,0.39980151275605713,0.39980151275605713
4,sett_cutoff,sett_exclude_features,,,0.02698871332023467,0.6658615715596949,0.10098251855418032,0.4708445249172778
6,sett_cutoff,sett_model,,,0.00040254755357046004,0.4936553799869008,0.0015061950273446902,0.4836288785596692
2,sett_exclude_subgroups,,,,8.629685272136063e-14,8.629685272136063e-14,3.2289325644022197e-13,3.2289325644022197e-13
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.2928502848798465,0.0,0.43615452476201527
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.34602257335970005,0.0,0.4647762518090423
8,sett_exclude_features,sett_model,,,0.0,0.546425120913184,0.0,0.4870016462222036
9,sett_exclude_subgroups,sett_model,,,0.0,0.20040254755357012,0.0,0.39980151275605713
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.6658615715596949,0.0,0.4708445249172778
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,0.8666666666667492,0.0,0.3399346342395514
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.4936553799869008,0.0,0.4836288785596692
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.546425120913184,0.0,0.4870016462222036
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,0.8666666666667492,0.0,0.3399346342395514
