,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
0,sett_cutoff,,,,0.44750375457703023,0.44750375457703023,0.47681145349824317,0.47681145349824317
1,sett_exclude_features,,,,0.43776342708550153,0.43776342708550153,0.4798714969264057,0.4798714969264057
3,sett_model,,,,0.08333333333333333,0.08333333333333333,0.2763853991962833,0.2763853991962833
4,sett_cutoff,sett_exclude_features,,,0.03139948500413489,0.9166666666666666,0.10346388670538836,0.27638539919628335
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.44750375457703023,0.0,0.47681145349824317
6,sett_cutoff,sett_model,,,0.0,0.5308370879103635,0.0,0.47870041986593703
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.43776342708550153,0.0,0.4798714969264057
8,sett_exclude_features,sett_model,,,0.0,0.5210967604188349,0.0,0.48343042029888983
9,sett_exclude_subgroups,sett_model,,,0.0,0.08333333333333333,0.0,0.2763853991962833
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.9166666666666666,0.0,0.27638539919628335
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0,0.0,1.8129866073473578e-16
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.5308370879103635,0.0,0.47870041986593703
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.5210967604188349,0.0,0.48343042029888983
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,1.8129866073473578e-16
