,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.5004912862399353,0.5004912862399353,0.4995111297498072,0.4995111297498072
3,sett_model,,,,0.4992630706401225,0.4992630706401225,0.499268509275086,0.499268509275086
8,sett_exclude_features,sett_model,,,0.00024564311996788624,0.9999999999999996,0.0008147060612657371,7.244860989075876e-16
0,sett_cutoff,,,,2.6165559342083992e-14,2.6165559342083992e-14,4.532007818894796e-14,4.532007818894796e-14
2,sett_exclude_subgroups,,,,2.6165559342083992e-14,2.6165559342083992e-14,4.532007818894796e-14,4.532007818894796e-14
4,sett_cutoff,sett_exclude_features,,,0.0,0.5004912862399353,0.0,0.4995111297498072
5,sett_cutoff,sett_exclude_subgroups,,,0.0,2.6165559342083992e-14,0.0,4.532007818894796e-14
6,sett_cutoff,sett_model,,,0.0,0.4992630706401225,0.0,0.499268509275086
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.5004912862399353,0.0,0.4995111297498072
9,sett_exclude_subgroups,sett_model,,,0.0,0.4992630706401225,0.0,0.499268509275086
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.5004912862399353,0.0,0.4995111297498072
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,0.9999999999999996,0.0,7.244860989075876e-16
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.4992630706401225,0.0,0.499268509275086
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.9999999999999996,0.0,7.244860989075876e-16
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,0.9999999999999996,0.0,7.244860989075876e-16
