,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.4316641022424239,0.4316641022424239,0.45944634879187424,0.45944634879187424
1,sett_exclude_features,,,,0.38944053508206256,0.38944053508206256,0.47204094268031355,0.47204094268031355
0,sett_cutoff,,,,0.07151121873150693,0.07151121873150693,0.24225065243249003,0.24225065243249003
8,sett_exclude_features,sett_model,,,0.026861706480998702,0.8479663438054836,0.08948569313426706,0.337014635379564
6,sett_cutoff,sett_model,,,0.01802243746301079,0.52119775843694,0.06980060015230545,0.48026238297038304
2,sett_exclude_subgroups,,,,1.5699125320811622e-15,1.5699125320811622e-15,5.554054877182854e-15,5.554054877182854e-15
4,sett_cutoff,sett_exclude_features,,,0.0,0.46095175381356795,0.0,0.47519395576559126
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.07151121873150693,0.0,0.24225065243249003
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.38944053508206256,0.0,0.47204094268031355
9,sett_exclude_subgroups,sett_model,,,0.0,0.4316641022424239,0.0,0.45944634879187424
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.46095175381356795,0.0,0.47519395576559126
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,0.9374999999999998,0.0,0.2420614591379635
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.52119775843694,0.0,0.48026238297038304
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.8479663438054836,0.0,0.337014635379564
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,0.9374999999999998,0.0,0.2420614591379635
