,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.4421408746704577,0.4421408746704577,0.36364159332093265,0.36364159332093265
1,sett_exclude_features,,,,0.26093270503586086,0.26093270503586086,0.3799083160543191,0.3799083160543191
0,sett_cutoff,,,,0.14968816563506376,0.14968816563506376,0.21162759465751013,0.21162759465751013
6,sett_cutoff,sett_model,,,0.09508162919603316,0.6869106695015545,0.12990538546238006,0.39505629306942563
8,sett_exclude_features,sett_model,,,0.040567582921630145,0.7436411626279487,0.08849865269875787,0.32342276118094127
4,sett_cutoff,sett_exclude_features,,,0.008644409213981082,0.4192652798849057,0.018276480248511896,0.350196001462476
11,sett_cutoff,sett_exclude_features,sett_model,,0.0029446333269734105,1.0,0.01138724834618272,2.5133742693021536e-16
2,sett_exclude_subgroups,,,,5.727603784096024e-17,5.727603784096024e-17,1.199953116609543e-16,1.199953116609543e-16
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.14968816563506376,0.0,0.21162759465751013
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.26093270503586086,0.0,0.3799083160543191
9,sett_exclude_subgroups,sett_model,,,0.0,0.4421408746704577,0.0,0.36364159332093265
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.4192652798849057,0.0,0.350196001462476
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.6869106695015545,0.0,0.39505629306942563
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.7436411626279487,0.0,0.32342276118094127
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,2.5133742693021536e-16
