,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.40900399871853876,0.40900399871853876,0.4142208812007923,0.4142208812007923
3,sett_model,,,,0.3872964669710726,0.3872964669710726,0.4742766541546562,0.4742766541546562
0,sett_cutoff,,,,0.1155092193740852,0.1155092193740852,0.20596975684866622,0.20596975684866622
4,sett_cutoff,sett_exclude_features,,,0.07448076902348781,0.5989939871161116,0.125962285828376,0.46760252916197503
8,sett_exclude_features,sett_model,,,0.012313566722110328,0.8086140324117217,0.03223149625483708,0.3213414989115538
6,sett_cutoff,sett_model,,,0.0008955550532652494,0.5037012413984231,0.0021081165358750324,0.42259109536647926
11,sett_cutoff,sett_exclude_features,sett_model,,0.0005004241374402512,1.0000000000000002,0.0017852041193314571,6.3109611985757e-16
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.1155092193740852,0.0,0.20596975684866622
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.40900399871853876,0.0,0.4142208812007923
9,sett_exclude_subgroups,sett_model,,,0.0,0.3872964669710726,0.0,0.4742766541546562
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.5989939871161116,0.0,0.46760252916197503
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.5037012413984231,0.0,0.42259109536647926
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.8086140324117217,0.0,0.3213414989115538
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0000000000000002,0.0,6.3109611985757e-16
