,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.5803482607181922,0.5803482607181922,0.44901375447532593,0.44901375447532593
0,sett_cutoff,,,,0.2348948189638,0.2348948189638,0.4059259740494801,0.4059259740494801
1,sett_exclude_features,,,,0.11322394434879603,0.11322394434879603,0.19684114767608277,0.19684114767608277
8,sett_exclude_features,sett_model,,,0.0476957848316795,0.7412679898986677,0.1075779383947559,0.412570070717887
4,sett_cutoff,sett_exclude_features,,,0.022018583706220538,0.37013734701881645,0.07154185741437477,0.4333545083231333
6,sett_cutoff,sett_model,,,0.001789760661869651,0.8170328403438618,0.005986715509494739,0.3127013325923717
11,sett_cutoff,sett_exclude_features,sett_model,,2.884676944244418e-05,1.0000000000000002,9.992814061707732e-05,3.6563529347141295e-16
2,sett_exclude_subgroups,,,,2.00226136726494e-17,2.00226136726494e-17,6.936036836270408e-17,6.936036836270408e-17
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.2348948189638,0.0,0.4059259740494801
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.11322394434879603,0.0,0.19684114767608277
9,sett_exclude_subgroups,sett_model,,,0.0,0.5803482607181922,0.0,0.44901375447532593
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.37013734701881645,0.0,0.4333545083231333
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.8170328403438618,0.0,0.3127013325923717
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.7412679898986677,0.0,0.412570070717887
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0000000000000002,0.0,3.6563529347141295e-16
