,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.4173120598960895,0.4173120598960895,0.43773467646921144,0.43773467646921144
0,sett_cutoff,,,,0.39235183870909107,0.39235183870909107,0.41645912660843626,0.41645912660843626
4,sett_cutoff,sett_exclude_features,,,0.060279938841309236,0.4994182002869665,0.14956675052659885,0.45243806171816864
1,sett_exclude_features,,,,0.04678642273656625,0.04678642273656625,0.08960320898940852,0.08960320898940852
8,sett_exclude_features,sett_model,,,0.04641439224215966,0.5105128748748153,0.10378695283291414,0.4443027374591503
6,sett_cutoff,sett_model,,,0.029529601594798914,0.8391935001999793,0.08232872329236941,0.2471546032281215
11,sett_cutoff,sett_exclude_features,sett_model,,0.007325745979986681,1.000000000000001,0.028290408883443748,3.4586610227916236e-15
2,sett_exclude_subgroups,,,,1.6088933373818775e-16,1.6088933373818775e-16,3.958263438268941e-16,3.958263438268941e-16
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.39235183870909107,0.0,0.41645912660843626
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.04678642273656625,0.0,0.08960320898940852
9,sett_exclude_subgroups,sett_model,,,0.0,0.4173120598960895,0.0,0.43773467646921144
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.4994182002869665,0.0,0.45243806171816864
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.8391935001999793,0.0,0.2471546032281215
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.5105128748748153,0.0,0.4443027374591503
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.000000000000001,0.0,3.4586610227916236e-15
