,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.5308549132837873,0.5308549132837873,0.4475249908206826,0.4475249908206826
0,sett_cutoff,,,,0.24769142515740733,0.24769142515740733,0.37559947739824956,0.37559947739824956
1,sett_exclude_features,,,,0.16620963923644852,0.16620963923644852,0.3486281850601174,0.3486281850601174
6,sett_cutoff,sett_model,,,0.043937366898329416,0.8224837053395242,0.09240009246792309,0.36184627906592104
8,sett_exclude_features,sett_model,,,0.011180802752568204,0.7082453552728041,0.0418327052993258,0.4151040321373555
4,sett_cutoff,sett_exclude_features,,,0.00012575833954386496,0.41402682273339964,0.00046941130136983196,0.4253526082801011
11,sett_cutoff,sett_exclude_features,sett_model,,9.433191520012069e-08,1.0000000000000002,3.529577073170646e-07,6.026646733014201e-16
2,sett_exclude_subgroups,,,,2.5851996584577016e-17,2.5851996584577016e-17,9.67293139835373e-17,9.67293139835373e-17
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.24769142515740733,0.0,0.37559947739824956
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.16620963923644852,0.0,0.3486281850601174
9,sett_exclude_subgroups,sett_model,,,0.0,0.5308549132837873,0.0,0.4475249908206826
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.41402682273339964,0.0,0.4253526082801011
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.8224837053395242,0.0,0.36184627906592104
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.7082453552728041,0.0,0.4151040321373555
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0000000000000002,0.0,6.026646733014201e-16
