,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.5742034074816735,0.5742034074816735,0.4318180014598779,0.4318180014598779
3,sett_model,,,,0.28307859460105084,0.28307859460105084,0.4289725378970949,0.4289725378970949
4,sett_cutoff,sett_exclude_features,,,0.050416321373272,0.6729674167207025,0.12313664496572152,0.417718632421986
0,sett_cutoff,,,,0.04834768786575696,0.04834768786575696,0.1370090441250371,0.1370090441250371
8,sett_exclude_features,sett_model,,,0.03785936577094804,0.8951413678536724,0.0844816893329194,0.22179066119805702
6,sett_cutoff,sett_model,,,0.0030473114555883652,0.33447359392239606,0.011401995394282377,0.4236845516648437
11,sett_cutoff,sett_exclude_features,sett_model,,0.0030473114517082286,0.9999999999999976,0.01140199539531239,4.958278069972376e-15
2,sett_exclude_subgroups,,,,1.8978025758530147e-15,1.8978025758530147e-15,6.978302553199056e-15,6.978302553199056e-15
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.04834768786575696,0.0,0.1370090441250371
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.5742034074816735,0.0,0.4318180014598779
9,sett_exclude_subgroups,sett_model,,,0.0,0.28307859460105084,0.0,0.4289725378970949
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.6729674167207025,0.0,0.417718632421986
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.33447359392239606,0.0,0.4236845516648437
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.8951413678536724,0.0,0.22179066119805702
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,0.9999999999999976,0.0,4.958278069972376e-15
