,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
1,sett_exclude_features,,,,0.35047458581952745,0.35047458581952745,0.46111667486448493,0.46111667486448493
3,sett_model,,,,0.33923818775566467,0.33923818775566467,0.4046432351918721,0.4046432351918721
0,sett_cutoff,,,,0.20214567072364015,0.20214567072364015,0.3469937342582901,0.3469937342582901
6,sett_cutoff,sett_model,,,0.06601498894809656,0.6073988474274014,0.13601216686361092,0.4697764475968881
8,sett_exclude_features,sett_model,,,0.04204862935810217,0.7317614029332943,0.1481085831970154,0.3913053341365369
4,sett_cutoff,sett_exclude_features,,,7.662729510591559e-05,0.5526968838382735,0.00026905301540103895,0.4379926628972335
11,sett_cutoff,sett_exclude_features,sett_model,,1.3100998627927046e-06,0.9999999999999998,4.901944828982865e-06,5.006272899369273e-16
2,sett_exclude_subgroups,,,,3.985307139638494e-17,3.985307139638494e-17,1.4911653897591295e-16,1.4911653897591295e-16
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.20214567072364015,0.0,0.3469937342582901
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.35047458581952745,0.0,0.46111667486448493
9,sett_exclude_subgroups,sett_model,,,0.0,0.33923818775566467,0.0,0.4046432351918721
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.5526968838382735,0.0,0.4379926628972335
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.6073988474274014,0.0,0.4697764475968881
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.7317614029332943,0.0,0.3913053341365369
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,0.9999999999999998,0.0,5.006272899369273e-16
