,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
0,sett_cutoff,,,,0.43830732335184286,0.43830732335184286,0.4177666167703162,0.4177666167703162
3,sett_model,,,,0.27398167358224546,0.27398167358224546,0.34120683518391604,0.34120683518391604
1,sett_exclude_features,,,,0.16932903362030916,0.16932903362030916,0.32674052553815364,0.32674052553815364
6,sett_cutoff,sett_model,,,0.06874254892871459,0.7810315458628029,0.12200554630577794,0.35679156069654683
8,sett_exclude_features,sett_model,,,0.03419777666206208,0.47750848386461675,0.10791881241596926,0.4265305575954674
4,sett_cutoff,sett_exclude_features,,,0.015441643854845158,0.6230780008269972,0.05898938908585056,0.3974204138392
2,sett_exclude_subgroups,,,,3.4749498284060725e-17,3.4749498284060725e-17,1.3458422814323042e-16,1.3458422814323042e-16
11,sett_cutoff,sett_exclude_features,sett_model,,4.8470344847384726e-18,1.000000000000019,1.877248383788515e-17,6.776529896985931e-14
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.43830732335184286,0.0,0.4177666167703162
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.16932903362030916,0.0,0.32674052553815364
9,sett_exclude_subgroups,sett_model,,,0.0,0.27398167358224546,0.0,0.34120683518391604
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.6230780008269972,0.0,0.3974204138392
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.7810315458628029,0.0,0.35679156069654683
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.47750848386461675,0.0,0.4265305575954674
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.000000000000019,0.0,6.776529896985931e-14
