,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.383299678205856,0.383299678205856,0.35597511631285256,0.35597511631285256
0,sett_cutoff,,,,0.19327177396359135,0.19327177396359135,0.24371252878186536,0.24371252878186536
1,sett_exclude_features,,,,0.18939066250266318,0.18939066250266318,0.30388008867433336,0.30388008867433336
6,sett_cutoff,sett_model,,,0.13922588023905064,0.715797332408498,0.1767475375603034,0.3835154961385164
4,sett_cutoff,sett_exclude_features,,,0.0781825871925613,0.46084502365881586,0.15359197717741024,0.3829957723422268
8,sett_exclude_features,sett_model,,,0.01187585228354254,0.5845661929920617,0.01666084434442316,0.33100049243339813
11,sett_cutoff,sett_exclude_features,sett_model,,0.004753565612735287,1.0000000000000002,0.016125930741227187,6.532886618304434e-16
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.19327177396359135,0.0,0.24371252878186536
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.18939066250266318,0.0,0.30388008867433336
9,sett_exclude_subgroups,sett_model,,,0.0,0.383299678205856,0.0,0.35597511631285256
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.46084502365881586,0.0,0.3829957723422268
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.715797332408498,0.0,0.3835154961385164
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,0.5845661929920617,0.0,0.33100049243339813
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0000000000000002,0.0,6.532886618304434e-16
