,level_0,level_1,level_2,level_3,level_4,level_5,individual importance,total importance,individual std,total std
2,universe_model,,,,,,0.31120291774773595,0.31120291774773595,0.0032200431019387544,0.0032200431019387544
3,universe_scale,,,,,,0.19212741865541008,0.19212741865541008,0.005447583079124329,0.005447583079124329
4,universe_training_size,,,,,,0.17726504874460025,0.17726504874460025,0.004149693272222449,0.004149693272222449
15,universe_model,universe_scale,,,,,0.1691168580665493,0.6724471944696953,0.0054087349806176835,0.007823131057306329
16,universe_model,universe_training_size,,,,,0.033531406934405844,0.5219993734267421,0.002635851210421466,0.007452351291435903
18,universe_scale,universe_training_size,,,,,0.03236031118926417,0.4017527785892745,0.0025108033540600593,0.004046947003500276
37,universe_model,universe_scale,universe_training_size,,,,0.028814471268714212,0.9444184326066798,0.0020433256842689977,0.004113932199291803
0,universe_exclude_features,,,,,,0.006466997435273321,0.006466997435273321,0.0005266492349481963,0.0005266492349481963
25,universe_exclude_features,universe_model,universe_scale,,,,0.0058119854670385315,0.6944668013099795,0.0007125889255951849,0.007619555263138115
7,universe_exclude_features,universe_model,,,,,0.005700437590345802,0.3233703527733551,0.0006780879780504555,0.003228637032318782
8,universe_exclude_features,universe_scale,,,,,0.004040186347626614,0.20263460243831005,0.000447927044459228,0.0054911092834761905
39,universe_model,universe_training_size,universe_training_year,,,,0.003798665347045293,0.5323923738281322,0.0005883073515375131,0.007176329647296836
17,universe_model,universe_training_year,,,,,0.003529461068668441,0.3156831690745479,0.0005290855271732798,0.003097237615078331
55,universe_model,universe_scale,universe_training_size,universe_training_year,,,0.0028037073887679695,0.9611224149852877,0.0007302581013059803,0.004435195619676108
1,universe_exclude_subgroups,,,,,,0.0025157943926120033,0.0025157943926120033,0.0005133001483724882,0.0005133001483724882
20,universe_training_size,universe_training_year,,,,,0.002114083727532897,0.18032992273027665,0.0004755026009259587,0.003999391899242198
40,universe_scale,universe_training_size,universe_training_year,,,,0.0017288219537404444,0.4069472847908724,0.00039896705499493636,0.00407378910457916
38,universe_model,universe_scale,universe_training_year,,,,0.0013776423725283139,0.6787058984312166,0.0005028384691221618,0.008150143098591934
13,universe_exclude_subgroups,universe_training_size,,,,,0.0013769930392300155,0.18115783617644227,0.0004780244153232651,0.004424909273740162
5,universe_training_year,,,,,,0.0009507902581435037,0.0009507902581435037,0.0002656155131294736,0.0002656155131294736
31,universe_exclude_subgroups,universe_model,universe_scale,,,,0.0008923100934313253,0.6771352295916941,0.00036381860302638725,0.007764563149714705
53,universe_exclude_subgroups,universe_model,universe_training_size,universe_training_year,,,0.0008121427490837124,0.539328604396816,0.00032570097052226103,0.007206349107831077
11,universe_exclude_subgroups,universe_model,,,,,0.0006996751132010832,0.31441838725354904,0.000267868138312002,0.003290703731592198
33,universe_exclude_subgroups,universe_model,universe_training_year,,,,0.0006739939745026302,0.31963475998540725,0.00020277378369758928,0.003186154525761749
49,universe_exclude_features,universe_model,universe_training_size,universe_training_year,,,0.0006395952697497399,0.5465518908912124,0.00027430364382065303,0.0069671960770974935
12,universe_exclude_subgroups,universe_scale,,,,,0.0005802555227544693,0.19522346857077658,0.0002214415757900372,0.005448715954118052
