,level_0,level_1,level_2,level_3,level_4,level_5,individual importance,total importance,individual std,total std
3,universe_scale,,,,,,0.3145785610237124,0.3145785610237124,0.004347004653713883,0.004347004653713883
2,universe_model,,,,,,0.29034716250822856,0.29034716250822856,0.005190917554259414,0.005190917554259414
15,universe_model,universe_scale,,,,,0.2661580486943982,0.8710837722263391,0.0056515462120475665,0.0033072585824126446
25,universe_exclude_features,universe_model,universe_scale,,,,0.025478520082066997,0.9497693142954442,0.0010067405700034946,0.0015058052010502956
8,universe_exclude_features,universe_scale,,,,,0.02185709931909669,0.3464317167381363,0.0015873918626056079,0.004373055551690052
7,universe_exclude_features,universe_model,,,,,0.021353866272614205,0.3216970851761699,0.0012746230486763996,0.005138631781333934
0,universe_exclude_features,,,,,,0.00999605639532715,0.00999605639532715,0.0009954002657534577,0.0009954002657534577
20,universe_training_size,universe_training_year,,,,,0.006057915138016634,0.008901577968760233,0.0009189753701661896,0.0012708667358850832
16,universe_model,universe_training_size,,,,,0.0042834299925997125,0.295809131827771,0.0006597857000724955,0.005268060140014268
12,universe_exclude_subgroups,universe_scale,,,,,0.0031448501099950324,0.3181231461403931,0.0004752126027451815,0.0043568847789262795
31,universe_exclude_subgroups,universe_model,universe_scale,,,,0.003104500327868389,0.8805550950333676,0.000595827812818475,0.003212295769244437
11,universe_exclude_subgroups,universe_model,,,,,0.002822237362479419,0.2935691348773936,0.0005134876173381128,0.00526016163800846
17,universe_model,universe_training_year,,,,,0.0027016686945752757,0.29471395470660466,0.0005345619947884724,0.00511306901811003
5,universe_training_year,,,,,,0.0016651235038008714,0.0016651235038008714,0.0005126717409934437,0.0005126717409934437
39,universe_model,universe_training_size,universe_training_year,,,,0.0014941266082338668,0.3077279657723976,0.0004416295146862424,0.005374926297348409
21,universe_exclude_features,universe_exclude_subgroups,universe_model,,,,0.0012035604062200593,0.3271920439060645,0.0002772391780677534,0.005303485656898211
55,universe_model,universe_scale,universe_training_size,universe_training_year,,,0.0011926249167930494,0.8930272341214924,0.0002736804529871562,0.004420237959066338
4,universe_training_size,,,,,,0.0011785393269427256,0.0011785393269427256,0.000190125330211701,0.000190125330211701
53,universe_exclude_subgroups,universe_model,universe_training_size,universe_training_year,,,0.0011641169515384637,0.3142966118810366,0.0003392869722275814,0.005321540883050408
37,universe_model,universe_scale,universe_training_size,,,,0.0011381053954308649,0.8781050912388751,0.0002753153257819988,0.0035878357200059166
6,universe_exclude_features,universe_exclude_subgroups,,,,,0.0010694259545094508,0.011465217356522263,0.00025279498831726866,0.00116720088583307
40,universe_scale,universe_training_size,universe_training_year,,,,0.0010331185545151204,0.325192432925813,0.0002454076743319598,0.004670392778259755
49,universe_exclude_features,universe_model,universe_training_size,universe_training_year,,,0.000945579339144032,0.34271748372945277,0.0002129505033161236,0.005122190322790657
36,universe_exclude_subgroups,universe_training_size,universe_training_year,,,,0.0009218824671089127,0.010601860800889248,0.0003027695565325702,0.0013572892977927915
60,universe_exclude_features,universe_model,universe_scale,universe_training_size,universe_training_year,,0.0008167827304085117,0.9782925535131741,0.00020571552015195504,0.0019053616514453056
41,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,,,0.00078662400018625,0.9625637121418313,0.00029534792880806264,0.0018336353488831488
27,universe_exclude_features,universe_model,universe_training_year,,,,0.0007740168548743169,0.3272329088295336,0.00023902775778802428,0.004968575950539337
26,universe_exclude_features,universe_model,universe_training_size,,,,0.000725463756958427,0.32813267324151013,0.00024355723760358133,0.005219281042770015
58,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_training_size,universe_training_year,,0.0006583039544312859,0.3538193924272263,0.00012010652111445926,0.004980715519217064
33,universe_exclude_subgroups,universe_model,universe_training_year,,,,0.0006075885544544065,0.2987489119699228,0.00016996143087250835,0.00504017933263946
48,universe_exclude_features,universe_model,universe_scale,universe_training_year,,,0.000581577450125028,0.9569878628844133,0.0001880063473233626,0.0015517092283351046
30,universe_exclude_features,universe_training_size,universe_training_year,,,,0.000551365749184352,0.02009216970222441,0.00017616883987318016,0.0013456376334407658
47,universe_exclude_features,universe_model,universe_scale,universe_training_size,,,0.0005412216556668411,0.958499627651421,0.00017827725792508877,0.001440201090903212
38,universe_model,universe_scale,universe_training_year,,,,0.0005196343854200951,0.8762281298913976,0.00020270742596580857,0.0036723336813761914
42,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_training_size,,,0.0004925196777170641,0.3347262252987848,0.00014567937191361778,0.00524652880080235
50,universe_exclude_features,universe_scale,universe_training_size,universe_training_year,,,0.00048286423648836335,0.35924072417563624,0.00024556039631522903,0.004676934600934722
61,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,universe_training_year,,0.00046216313115466295,0.9072585959324981,0.0001227926773217635,0.004066399800759417
62,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,universe_training_year,0.00045304126077815737,1.0000000000000004,0.00015041758569963868,4.632604295242132e-15
43,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_training_year,,,0.000436616152352486,0.3341530244139934,0.00016104666914914782,0.004986461635888073
57,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,universe_training_year,,0.00043072195208154263,0.9721894365869347,0.00020218742854676987,0.0017110484840670147
18,universe_scale,universe_training_size,,,,,0.0004212442975628428,0.316178344648218,0.00020465982674636884,0.004432068191056029
1,universe_exclude_subgroups,,,,,,0.0003997350066856641,0.0003997350066856641,0.0001694749517237804,0.0001694749517237804
10,universe_exclude_features,universe_training_year,,,,,0.00039501460011328996,0.01205619449924131,0.00017612656069213655,0.0009468779820397525
56,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,,0.0003879317345926837,0.9732025782603279,0.0001787040357875995,0.0013051575839098098
