universe_id,universe_training_year,universe_training_size,universe_scale,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
85539b3ff490ed61c1c0abd8c8e48f03,2014,25k,scale,penalized_logreg,age,drop-non-german,0.6820845382767002,0.91271876045034,1.126396165421915,0.9115514220245317,0.9081008252399932,0.924795100423309,0.8804769001490313
cb4bfe6f8e8f1bf35296b58ed520701d,2014,25k,scale,gbm,nationality-sex,keep-all,0.6817034706888216,0.9102552669713522,1.1093746516553338,0.912144493867098,0.9100656823668108,0.9250652976672972,0.8852459016393442
d6c503396f38fe9b651e6ea59d39e273,2012_14,25k,do-not-scale,gbm,none,keep-all,0.6602434923768814,0.911793557017055,1.115851075688329,0.9134654266073596,0.9084376578903048,0.9250652976672972,0.8809239940387481
808e5bf9c4c2382846e0fbdc761e0dde,2010_14,25k,scale,logreg,sex,drop-non-german,0.6596793237259716,0.9100657674729684,1.1248021402296289,0.909502628386575,0.9100656823668108,0.9256957579032694,0.8842026825633383
7ce930452dc10f11e7fccd94bd1c790d,2014,25k,scale,penalized_logreg,age,keep-all,0.6796543145147559,0.9125181139226396,1.1268308995652658,0.9113627173473514,0.910570931342278,0.9259659551472575,0.885096870342772
d05d7e29ddbcdfa4025464588d765446,2014,25k,do-not-scale,logreg,none,keep-all,0.6741738210398361,0.9125069668933228,1.1992642960650983,0.9112279282922228,0.9287598944591028,0.9425380527785284,0.9059612518628912
cc3c0d725cb2809bd122607542c4eaaf,2012_14,25k,scale,elasticnet,nationality,keep-all,0.6639079263402324,0.9115929104893544,1.1248355813175788,0.909610459630678,0.910570931342278,0.926956678375214,0.8834575260804769
e12c481d3f3f212999a9138e6b4dfbaf,2014,25k,scale,gbm,none,keep-all,0.6806086893678704,0.9107791773492364,1.1100992085609185,0.9127106078986388,0.9104586537921744,0.9251553634152933,0.886140089418778
c68e8e22107681f4dfa299d35c3baf4f,2014,25k,do-not-scale,penalized_logreg,nationality-sex,drop-non-german,0.6659534639887259,0.9126964663917068,1.2269089287704826,0.9107426876937592,0.9440857800482794,0.9541565342700172,0.9274217585692996
1ad505540d3cc0a9ad068ced7df840f4,2014,25k,do-not-scale,gbm,sex,drop-non-german,0.6868765497257514,0.9108126184371864,1.1119607624568053,0.9117401267017118,0.9117498456183686,0.9261460866432496,0.8879284649776453
